"AACountry Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Finland,""FIN"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""5.413489818573"",""5.33137989044189"",""5.0081901550293"",""5.09337997436523"",""4.48230981826782"",""5.03323984146118"",""5.22833013534546"","""","""",""4.79690980911255"",""4.82574987411499"",""4.83336019515991"",""4.77929019927979"",""4.85560989379883"",""4.69891977310181"",""5.04542016983032"",""5.1003999710083"",""5.20081996917725"",""5.06695985794067"",""5.07260990142822"",""5.33890008926392"",""6.33748006820679"",""6.52050018310547"",""7.48716020584106"",""6.85706996917725"",""6.80990982055664"",""6.85898017883301"","""","""",""5.86992979049683"",""5.70930004119873"",""5.84025001525879"",""6.01677989959717"",""6.16743993759155"",""6.15757989883423"",""6.02507019042969"",""5.92838001251221"",""5.67125988006592"",""5.83010005950928"",""6.45955991744995"",""6.50444984436035"",""6.44504976272583"",""7.14803981781006"",""7.12404012680054"",""7.10236978530884"",""7.03208017349243"",""6.85153007507324"",""6.37621021270752"","""","""","""","
"France,""FRA"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""3.4297399520874"",""3.17421007156372"",""3.35917997360229"",""3.23003005981445"",""4.24204015731812"",""4.42854022979736"",""4.42470979690552"",""4.43521022796631"",""4.34511995315552"",""4.2811598777771"",""4.30769014358521"",""4.73072004318237"",""4.85202980041504"",""4.85234022140503"",""4.86753988265991"",""4.85157012939453"",""4.70795011520386"",""4.62343978881836"",""4.54472017288208"",""4.45639991760254"",""4.51393985748291"",""4.84130001068115"",""4.73539018630981"",""5.42959022521973"",""5.62643003463745"",""5.79072999954224"",""5.75672006607056"","""",""5.68792009353638"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.45160007476807"","""","""","""","
"Germany,""DEU"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.40791988372803"",""4.33663988113403"",""4.4307599067688"",""4.49470996856689"","""",""4.46187019348145"","""","""","""","""","""","""","""",""4.2939600944519"",""4.36679983139038"",""4.43594980239868"",""4.90951013565063"",""4.94367980957031"",""4.82487010955811"",""4.95658016204834"",""4.96111011505127"",""4.93962001800537"",""4.83498001098633"",""4.84021997451782"",""4.90511989593506"","""","""","""","
"Greece,""GRC"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""1.54649996757507"",""1.30245995521545"","""",""1.11261999607086"",""1.33608996868134"",""1.46085000038147"",""1.44825005531311"",""1.4937299489975"",""1.68570005893707"","""","""",""1.69280004501343"",""1.68684005737305"",""1.68868005275726"",""1.81002998352051"","""",""1.83336997032166"",""1.83421003818512"",""1.86893999576569"",""2.01546001434326"",""2.04608011245728"",""1.93432998657227"","""","""","""","""","""","""",""2.89256000518799"",""3.02772998809814"",""3.23019003868103"",""3.36457991600037"",""3.42430996894836"",""3.42933988571167"",""3.66719007492065"",""3.96395993232727"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Iceland,""ISL"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.25224018096924"","""","""",""5.13386011123657"",""4.74843978881836"",""4.77343988418579"",""5.20985984802246"","""",""6.7915301322937"",""6.44150018692017"",""6.4471697807312"",""6.73002004623413"",""7.31757020950317"",""7.25477981567383"",""7.15629005432129"",""7.35609006881714"",""7.29924011230469"",""6.98871994018555"",""7.10258007049561"",""7.18424987792969"",""6.97847986221313"",""6.81823015213013"",""7.596360206604"",""7.49121999740601"",""7.68858003616333"",""7.51290988922119"",""7.49521017074585"",""7.65821981430054"","""","""","""","
"Ireland,""IRL"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""",""4.48104000091553"",""4.61138010025024"",""4.60305023193359"",""4.680419921875"","""",""4.2913498878479"",""5.07923984527588"",""5.06155014038086"",""5.28179979324341"",""5.31584978103638"",""5.72516012191772"",""5.38308000564575"",""5.44003009796143"",""5.27538013458252"",""5.24209022521973"",""5.29486989974976"",""5.52220010757446"",""5.01015996932983"",""4.70738983154297"",""4.59505987167358"",""4.77694988250732"",""4.99963998794556"",""5.10943984985352"",""5.1825098991394"",""4.86579990386963"",""4.74829006195068"","""",""4.29312992095947"",""4.14085006713867"",""4.1366400718689"",""4.09186983108521"",""4.10604000091553"",""4.2055401802063"",""4.48629999160767"",""4.52216005325317"",""4.54550981521606"",""4.71224021911621"",""5.4441499710083"",""6.13508987426758"",""6.03804016113281"",""5.85826015472412"",""5.7657299041748"",""5.33460998535156"",""4.88139009475708"",""3.75829005241394"",""3.71972990036011"",""3.50686001777649"","""","""","""","
"Israel,""ISR"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""",""5.36452007293701"",""5.93753004074097"",""6.03542995452881"",""5.94178009033203"",""5.83790016174316"",""6.61839008331299"",""6.70196008682251"",""7.14694976806641"",""7.09190988540649"",""6.66350984573364"",""7.01159000396729"",""6.99994993209839"",""8.01836967468262"",""6.12789011001587"",""5.52332019805908"",""4.50914001464844"",""5.7072901725769"",""5.42283010482788"",""5.43542003631592"",""5.57965993881226"",""5.95542001724243"",""6.43802976608276"","""","""","""",""6.65499019622803"",""6.42338991165161"",""6.11802005767822"",""6.37691020965576"",""6.46638011932373"",""6.34953022003174"",""5.9443998336792"",""5.7597599029541"",""5.76049995422363"",""5.50217008590698"",""5.53543996810913"",""5.4945502281189"",""5.53534984588623"",""5.56688022613525"",""5.69981002807617"",""5.88489007949829"",""5.79265022277832"",""5.86730003356934"",""5.85713005065918"",""6.09261989593506"","""","""","""","
"Italy,""ITA"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""",""3.36681008338928"",""2.89877009391785"","""","""",""3.83513998985291"",""3.71161007881165"",""3.91951990127563"","""",""3.78035998344421"",""4.16373014450073"","""","""","""",""4.48805999755859"",""4.77456998825073"",""4.68980979919434"",""4.65490007400513"","""",""4.59277009963989"","""","""","""","""",""4.73389005661011"",""4.43331003189087"",""4.31864976882935"",""4.44763994216919"","""",""4.45031023025513"",""4.51084995269775"",""4.29107999801636"",""4.65009021759033"",""4.43240976333618"",""4.54179000854492"",""4.38520002365112"",""4.23829984664917"",""4.52545022964478"",""4.10503005981445"",""4.38794994354248"",""4.52371978759766"",""4.33411979675293"",""4.11568021774292"",""4.05601978302002"",""4.14367008209229"",""4.06127977371216"",""4.07362985610962"",""3.81578993797302"",""4.04493999481201"","""","""","""","
"Jamaica,""JAM"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.63143992424011"",""4.24897003173828"",""5.22878980636597"",""5.85832977294922"",""6.02651977539063"","""","""","""","""","""","""","""",""5.39190006256104"",""4.60398006439209"","""",""3.94086003303528"",""5.18397998809814"",""4.7791600227356"",""4.38306999206543"",""3.33665990829468"",""3.21403002738953"",""4.06418991088867"",""3.38908004760742"",""3.67773008346558"",""4.37953996658325"","""","""",""4.98346996307373"",""5.38103008270264"",""5.37522983551025"",""4.25684976577759"",""3.91254997253418"",""4.61641979217529"","""",""5.49022006988525"",""6.19131994247437"",""6.19848012924194"",""6.37060022354126"",""6.26664018630981"",""6.11246013641357"",""6.25108003616333"",""6.01654005050659"",""5.45577001571655"",""5.31508016586304"",""5.2606201171875"",""5.4147801399231"",""5.16918992996216"","""","
"Japan,""JPN"",""Government expenditure on education, total (% of GDP)"",""SE.XPD.TOTL.GD.ZS"","""","""","""","""","""","""","""","""","""","""","""",""3.65630006790161"",""4.01131010055542"",""4.04297018051147"",""4.04003000259399"",""4.66899013519287"",""4.85082006454468"",""4.84027004241943"",""4.89441013336182"",""5.05744981765747"",""5.0687198638916"",""5.06440019607544"",""5.04606008529663"",""4.82426977157593"","""","""","""",""5.596519947052"",""5.55604982376099"",""5.3671498298645"","""","""","""",""3.42903995513916"",""3.63566994667053"",""3.46572995185852"","""","""",""3.35602998733521"",""3.43330001831055"",""3.51617002487183"",""3.45707011222839"",""3.46536993980408"",""3.52368998527527"",""3.483069896698"",""3.36861991882324"",""3.3290901184082"",""3.33094000816345"",""3.3191499710083"","""",""3.63949990272522"",""3.64258003234863"",""3.69226002693176"",""3.66538000106812"",""3.59059000015259"","""",""3.18618011474609"",""3.18217992782593"","""","""","""","
