"AACountry Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Finland,""FIN"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""44.71"",""43.679"",""42.838"",""42.002"",""41.168"",""40.342"",""39.52"",""38.705"",""37.894"",""37.092"",""36.296"",""35.477"",""34.634"",""33.803"",""32.981"",""32.169"",""31.366"",""30.577"",""29.798"",""29.03"",""28.273"",""27.472"",""26.627"",""25.798"",""24.985"",""24.192"",""23.433"",""22.709"",""22"",""21.309"",""20.633"",""20.157"",""19.872"",""19.591"",""19.312"",""19.037"",""18.777"",""18.534"",""18.293"",""18.054"",""17.817"",""17.632"",""17.497"",""17.362"",""17.228"",""17.095"",""16.963"",""16.832"",""16.701"",""16.571"",""16.23"",""15.687"",""15.159"",""14.875"",""14.825"",""14.775"",""14.725"",""14.675"",""14.618"",""14.554"","""","
"France,""FRA"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""38.12"",""37.393"",""36.511"",""35.298"",""34.102"",""32.929"",""31.775"",""30.643"",""29.762"",""29.352"",""28.945"",""28.541"",""28.14"",""27.744"",""27.35"",""27.074"",""27.003"",""26.932"",""26.86"",""26.789"",""26.718"",""26.648"",""26.575"",""26.5"",""26.425"",""26.35"",""26.275"",""26.2"",""26.125"",""26.05"",""25.944"",""25.771"",""25.599"",""25.428"",""25.257"",""25.088"",""24.918"",""24.75"",""24.583"",""24.386"",""24.129"",""23.873"",""23.62"",""23.368"",""23.117"",""22.87"",""22.623"",""22.379"",""22.132"",""21.883"",""21.631"",""21.378"",""21.122"",""20.865"",""20.606"",""20.345"",""20.083"",""19.82"",""19.556"",""19.291"","""","
"Germany,""DEU"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""28.616"",""28.303"",""28.238"",""28.174"",""28.109"",""28.045"",""27.981"",""27.917"",""27.853"",""27.789"",""27.726"",""27.668"",""27.611"",""27.554"",""27.497"",""27.44"",""27.383"",""27.326"",""27.27"",""27.213"",""27.156"",""27.011"",""26.893"",""26.897"",""27.057"",""27.289"",""27.383"",""27.164"",""27.001"",""27.024"",""26.882"",""26.731"",""26.64"",""26.503"",""26.29"",""26.078"",""25.867"",""25.658"",""25.449"",""25.242"",""25.035"",""24.83"",""24.626"",""24.423"",""24.221"",""24.02"",""23.821"",""23.622"",""23.425"",""23.229"",""23.034"",""22.84"",""22.83"",""22.82"",""22.81"",""22.8"",""22.776"",""22.739"",""22.688"",""22.624"","""","
"Greece,""GRC"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""44.064"",""43.547"",""42.66"",""41.778"",""40.901"",""40.031"",""39.167"",""38.309"",""37.457"",""36.615"",""35.78"",""35.049"",""34.546"",""34.048"",""33.552"",""33.06"",""32.571"",""32.088"",""31.607"",""31.13"",""30.657"",""30.254"",""30.06"",""29.866"",""29.673"",""29.482"",""29.291"",""29.1"",""28.91"",""28.721"",""28.533"",""28.365"",""28.243"",""28.122"",""28.002"",""27.881"",""27.761"",""27.642"",""27.522"",""27.403"",""27.284"",""27.087"",""26.697"",""26.311"",""25.927"",""25.548"",""25.173"",""24.801"",""24.432"",""24.068"",""23.708"",""23.351"",""22.996"",""22.645"",""22.298"",""21.954"",""21.613"",""21.276"",""20.942"",""20.612"","""","
"Iceland,""ISL"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""19.7"",""19.197"",""18.703"",""18.219"",""17.744"",""17.28"",""16.825"",""16.379"",""15.943"",""15.517"",""15.1"",""14.731"",""14.37"",""14.017"",""13.67"",""13.331"",""12.998"",""12.674"",""12.356"",""12.045"",""11.74"",""11.467"",""11.2"",""10.938"",""10.681"",""10.43"",""10.184"",""9.943"",""9.706"",""9.476"",""9.25"",""9.068"",""8.88800000000001"",""8.71299999999999"",""8.54000000000001"",""8.37"",""8.203"",""8.04000000000001"",""7.879"",""7.733"",""7.599"",""7.468"",""7.33799999999999"",""7.211"",""7.086"",""6.96299999999999"",""6.84099999999999"",""6.72199999999999"",""6.605"",""6.489"",""6.426"",""6.413"",""6.40000000000001"",""6.367"",""6.333"",""6.3"",""6.265"",""6.227"",""6.187"",""6.145"","""","
"India,""IND"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""82.076"",""81.968"",""81.782"",""81.595"",""81.405"",""81.215"",""81.023"",""80.829"",""80.634"",""80.438"",""80.24"",""80.009"",""79.679"",""79.347"",""79.009"",""78.668"",""78.323"",""77.974"",""77.621"",""77.264"",""76.902"",""76.583"",""76.353"",""76.121"",""75.887"",""75.652"",""75.415"",""75.177"",""74.937"",""74.695"",""74.453"",""74.222"",""74.016"",""73.809"",""73.601"",""73.393"",""73.183"",""72.972"",""72.76"",""72.547"",""72.333"",""72.082"",""71.756"",""71.428"",""71.097"",""70.765"",""70.431"",""70.094"",""69.754"",""69.413"",""69.07"",""68.724"",""68.366"",""67.997"",""67.616"",""67.223"",""66.818"",""66.4"",""65.97"",""65.528"","""","
"Ireland,""IRL"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""54.816"",""54.607"",""54.397"",""54.187"",""53.977"",""53.767"",""53.363"",""52.205"",""51.044"",""49.885"",""48.724"",""47.731"",""47.389"",""47.048"",""46.706"",""46.366"",""46.025"",""45.685"",""45.345"",""45.006"",""44.667"",""44.366"",""44.206"",""44.045"",""43.885"",""43.725"",""43.573"",""43.447"",""43.322"",""43.196"",""43.071"",""42.927"",""42.707"",""42.488"",""42.269"",""42.051"",""41.827"",""41.581"",""41.336"",""41.09"",""40.845"",""40.601"",""40.351"",""40.075"",""39.798"",""39.523"",""39.262"",""39.06"",""38.859"",""38.658"",""38.458"",""38.258"",""38.058"",""37.859"",""37.66"",""37.462"",""37.263"",""37.053"",""36.83"",""36.595"","""","
"Israel,""ISR"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""23.152"",""22.015"",""21.246"",""20.498"",""19.768"",""19.06"",""18.37"",""17.7"",""17.048"",""16.418"",""15.805"",""15.211"",""14.649"",""14.207"",""13.776"",""13.357"",""12.947"",""12.55"",""12.162"",""11.785"",""11.417"",""11.06"",""10.713"",""10.392"",""10.281"",""10.172"",""10.064"",""9.956"",""9.84999999999999"",""9.745"",""9.64100000000001"",""9.53700000000001"",""9.435"",""9.334"",""9.233"",""9.134"",""9.057"",""8.991"",""8.926"",""8.861"",""8.797"",""8.733"",""8.67"",""8.607"",""8.544"",""8.482"",""8.42"",""8.35899999999999"",""8.298"",""8.23699999999999"",""8.17400000000001"",""8.108"",""8.04000000000001"",""7.96899999999999"",""7.896"",""7.821"",""7.744"",""7.664"",""7.58199999999999"",""7.499"","""","
"Italy,""ITA"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""40.639"",""40.144"",""39.645"",""39.147"",""38.65"",""38.157"",""37.666"",""37.178"",""36.691"",""36.208"",""35.728"",""35.25"",""34.961"",""34.759"",""34.558"",""34.357"",""34.156"",""33.956"",""33.757"",""33.558"",""33.36"",""33.163"",""33.114"",""33.134"",""33.154"",""33.174"",""33.194"",""33.214"",""33.234"",""33.254"",""33.274"",""33.294"",""33.258"",""33.198"",""33.138"",""33.078"",""33.018"",""32.958"",""32.898"",""32.838"",""32.778"",""32.718"",""32.618"",""32.499"",""32.38"",""32.262"",""32.144"",""32.026"",""31.908"",""31.791"",""31.673"",""31.556"",""31.316"",""31.021"",""30.728"",""30.435"",""30.145"",""29.856"",""29.562"",""29.264"","""","
"Jamaica,""JAM"",""Rural population (% of total population)"",""SP.RUR.TOTL.ZS"",""66.231"",""65.5"",""64.761"",""64.015"",""63.26"",""62.501"",""61.735"",""60.964"",""60.185"",""59.404"",""58.676"",""58.142"",""57.605"",""57.067"",""56.528"",""55.987"",""55.443"",""54.9"",""54.355"",""53.809"",""53.261"",""52.714"",""52.187"",""51.984"",""51.78"",""51.576"",""51.372"",""51.168"",""50.964"",""50.76"",""50.556"",""50.344"",""50.104"",""49.864"",""49.625"",""49.385"",""49.145"",""48.905"",""48.665"",""48.426"",""48.186"",""47.947"",""47.749"",""47.563"",""47.375"",""47.189"",""47.002"",""46.816"",""46.629"",""46.443"",""46.257"",""46.07"",""45.868"",""45.65"",""45.416"",""45.167"",""44.902"",""44.622"",""44.326"",""44.015"","""","
